0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
56,2017-02-13,ORL,MIA,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Goran Dragic,Hassan Whiteside,Jalen Johnson,James Johnson,Josh Richardson,Justise Winslow,Rodney McGruder,Udonis Haslem,Wayne Ellington,none,none,none,none,none,none,,,,,,,,,,
57,2017-02-15,ORL,SAS,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,Bryn Forbes,Danny Green,Davis Bertans,Dejounte Murray,Dewayne Dedmon,Kawhi Leonard,Kyle Anderson,LaMarcus Aldridge,Patty Mills,none,none,none,none,none,none,,,,,,,,,,
58,2017-02-23,ORL,POR,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,CJ McCollum,Damian Lillard,Ed Davis,Jake Layman,Jusuf Nurkic,Maurice Harkless,Pat Connaughton,none,none,none,none,none,none,none,none,,,,,,,,,,
59,2017-02-25,ORL,ATL,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dwight Howard,Kent Bazemore,Mike Muscala,Paul Millsap,Taurean Prince,Tim Hardaway Jr,none,none,none,none,none,none,none,,,,,,,,,,
60,2017-03-01,ORL,NYK,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,Carmelo Anthony,Derrick Rose,Justin Haliday,Kristaps Porzingis,Willy Hernangomez,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
61,2017-03-03,ORL,MIA,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,Goran Dragic,Hassan Whiteside,Jalen Johnson,James Johnson,Josh Richardson,Justise Winslow,Rodney McGruder,Udonis Haslem,Wayne Ellington,none,none,none,none,none,none,,,,,,,,,,
62,2017-03-05,ORL,WAS,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,Bojan Bogdanovic,Bradley Beal,John Wall,Kelly Oubre Jr,Markieff Morris,Otto Porter Jr,Tomas Satoransky,Trey Burke,none,none,none,none,none,none,none,,,,,,,,,,
63,2017-03-06,ORL,NYK,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,Carmelo Anthony,Derrick Rose,Justin Haliday,Kristaps Porzingis,Willy Hernangomez,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
64,2017-03-08,ORL,CHI,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,Bobby Portis,Cameron Payne,Jimmy Butler,Michael Carter-Williams,Rajon Rondo,Robin Lopez,none,none,none,none,none,none,none,none,none,,,,,,,,,,
65,2017-03-10,ORL,CHO,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,Christian Wood,Cody Zeller,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Nicolas Batum,none,none,none,none,none,none,none,none,none,,,,,,,,,,
66,2017-03-11,ORL,CLE,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,Kevin Love,Kyrie Irving,LeBron James,Tristan Thompson,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
67,2017-03-13,ORL,SAC,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,Ben McLemore,Buddy Hield,Garrett Temple,Langston Galloway,Rudy Gay,Willie Cauley Stein,none,none,none,none,none,none,none,none,none,,,,,,,,,,
68,2017-03-16,ORL,GSW,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,Andre Iguodala,Damian Jones,Draymond Green,JaVale McGee,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,none,none,none,none,none,none,none,,,,,,,,,,
69,2017-03-17,ORL,PHO,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Terrence Ross,none,none,none,none,none,none,none,Alex Len,Brandon Knight,Derrick Jones Jr,Devin Booker,Eric Bledsoe,Marquese Chriss,T.J. Warren,none,none,none,none,none,none,none,none,,,,,,,,,,
